0.00.129.994 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.233.478 W srv  llama_server: -----------------
0.00.233.489 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.233.489 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.233.489 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.233.490 W srv  llama_server: -----------------
0.00.236.801 I srv    load_model: loading model 'D:\assistenteeee\scripts\..\models\QwenPaw-Flash-9B.i1-Q4_K_M.gguf'
0.00.940.057 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
1.04.181.266 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 49152, kv_unified = 'true'
1.04.322.396 I srv  llama_server: model loaded
1.04.331.464 I srv  llama_server: listening on http://127.0.0.1:8012
6.41.058.643 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
20.06.027.143 I slot print_timing: id  0 | task 986 |        eval time =    6145.64 ms /   159 tokens (   38.65 ms per token,    25.87 tokens per second)
20.06.027.145 I slot print_timing: id  0 | task 986 |       total time =    7510.17 ms /   836 tokens
20.06.027.146 I slot print_timing: id  0 | task 986 |    graphs reused =       1119
20.06.027.658 I slot      release: id  0 | task 986 | stop processing: n_tokens = 835, truncated = 0
21.14.661.719 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 1132495240
21.14.661.919 I slot launch_slot_: id  3 | task 1149 | processing task, is_child = 0
21.15.296.488 I slot print_timing: id  3 | task 1149 | prompt eval time =     370.66 ms /    11 tokens (   33.70 ms per token,    29.68 tokens per second)
21.15.296.503 I slot print_timing: id  3 | task 1149 |        eval time =     164.73 ms /     5 tokens (   32.95 ms per token,    30.35 tokens per second)
21.15.296.504 I slot print_timing: id  3 | task 1149 |       total time =     535.39 ms /    16 tokens
21.15.296.505 I slot print_timing: id  3 | task 1149 |    graphs reused =       1122
21.15.296.609 I slot      release: id  3 | task 1149 | stop processing: n_tokens = 15, truncated = 0
21.15.373.505 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 1139165452
21.15.373.743 I slot launch_slot_: id  2 | task 1156 | processing task, is_child = 0
21.20.014.136 I slot print_timing: id  2 | task 1156 | n_decoded =    100, tg =  25.02 t/s, tg_3s =  25.02 t/s
21.23.045.831 I slot print_timing: id  2 | task 1156 | n_decoded =    175, tg =  24.90 t/s, tg_3s =  24.74 t/s
21.26.050.912 I slot print_timing: id  2 | task 1156 | n_decoded =    249, tg =  24.82 t/s, tg_3s =  24.62 t/s
21.27.385.641 I slot print_timing: id  2 | task 1156 | prompt eval time =     612.06 ms /   296 tokens (    2.07 ms per token,   483.62 tokens per second)
21.27.385.653 I slot print_timing: id  2 | task 1156 |        eval time =   11367.92 ms /   282 tokens (   40.31 ms per token,    24.81 tokens per second)
21.27.385.655 I slot print_timing: id  2 | task 1156 |       total time =   11979.97 ms /   578 tokens
21.27.385.656 I slot print_timing: id  2 | task 1156 |    graphs reused =       1401
21.27.386.346 I slot      release: id  2 | task 1156 | stop processing: n_tokens = 577, truncated = 0
21.27.424.885 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 1197633086
21.27.425.177 I slot launch_slot_: id  1 | task 1440 | processing task, is_child = 0
21.28.475.510 I slot print_timing: id  1 | task 1440 | prompt eval time =     237.75 ms /    72 tokens (    3.30 ms per token,   302.84 tokens per second)
21.28.475.527 I slot print_timing: id  1 | task 1440 |        eval time =     765.92 ms /    20 tokens (   38.30 ms per token,    26.11 tokens per second)
21.28.475.528 I slot print_timing: id  1 | task 1440 |       total time =    1003.67 ms /    92 tokens
21.28.475.530 I slot print_timing: id  1 | task 1440 |    graphs reused =       1419
21.28.475.698 I slot      release: id  1 | task 1440 | stop processing: n_tokens = 91, truncated = 0
21.28.514.829 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1205902406
21.28.515.092 I slot launch_slot_: id  0 | task 1462 | processing task, is_child = 0
21.33.149.639 I slot print_timing: id  0 | task 1462 | n_decoded =    100, tg =  25.09 t/s, tg_3s =  25.09 t/s
21.36.150.831 I slot print_timing: id  0 | task 1462 | n_decoded =    174, tg =  24.91 t/s, tg_3s =  24.66 t/s
21.39.167.587 I slot print_timing: id  0 | task 1462 | n_decoded =    249, tg =  24.89 t/s, tg_3s =  24.86 t/s
21.40.506.996 I slot print_timing: id  0 | task 1462 | prompt eval time =     612.55 ms /   312 tokens (    1.96 ms per token,   509.35 tokens per second)
21.40.507.011 I slot print_timing: id  0 | task 1462 |        eval time =   11342.67 ms /   282 tokens (   40.22 ms per token,    24.86 tokens per second)
21.40.507.012 I slot print_timing: id  0 | task 1462 |       total time =   11955.21 ms /   594 tokens
21.40.507.013 I slot print_timing: id  0 | task 1462 |    graphs reused =       1698
21.40.507.236 I slot      release: id  0 | task 1462 | stop processing: n_tokens = 593, truncated = 0
21.45.878.664 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 1275171354
21.45.878.901 I slot launch_slot_: id  3 | task 1746 | processing task, is_child = 0
21.51.800.296 I slot print_timing: id  3 | task 1746 | prompt processing, n_tokens =   3383, progress = 0.87, t =   5.87 s / 576.29 tokens per second
21.52.487.343 I slot print_timing: id  3 | task 1746 | prompt processing, n_tokens =   3895, progress = 1.00, t =   6.56 s / 594.00 tokens per second
21.57.712.763 I slot print_timing: id  3 | task 1746 | n_decoded =    100, tg =  23.69 t/s, tg_3s =  23.69 t/s
22.00.736.286 I slot print_timing: id  3 | task 1746 | n_decoded =    171, tg =  23.60 t/s, tg_3s =  23.48 t/s
22.03.775.794 I slot print_timing: id  3 | task 1746 | n_decoded =    242, tg =  23.53 t/s, tg_3s =  23.36 t/s
22.06.779.097 I slot print_timing: id  3 | task 1746 | n_decoded =    312, tg =  23.48 t/s, tg_3s =  23.31 t/s
22.09.814.600 I slot print_timing: id  3 | task 1746 | n_decoded =    383, tg =  23.46 t/s, tg_3s =  23.39 t/s
22.12.846.393 I slot print_timing: id  3 | task 1746 | n_decoded =    454, tg =  23.46 t/s, tg_3s =  23.42 t/s
22.13.143.576 I slot print_timing: id  3 | task 1746 | prompt eval time =    7561.89 ms /  3899 tokens (    1.94 ms per token,   515.61 tokens per second)
22.13.143.590 I slot print_timing: id  3 | task 1746 |        eval time =   19651.66 ms /   461 tokens (   42.63 ms per token,    23.46 tokens per second)
22.13.143.592 I slot print_timing: id  3 | task 1746 |       total time =   27213.55 ms /  4360 tokens
22.13.143.593 I slot print_timing: id  3 | task 1746 |    graphs reused =       2155
22.13.149.021 I slot      release: id  3 | task 1746 | stop processing: n_tokens = 4359, truncated = 0
22.13.191.306 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.620 (> 0.100 thold), f_keep = 0.065
22.13.266.325 I slot launch_slot_: id  3 | task 2211 | processing task, is_child = 0
22.18.385.088 I slot print_timing: id  3 | task 2211 | n_decoded =    100, tg =  24.28 t/s, tg_3s =  24.28 t/s
22.21.420.761 I slot print_timing: id  3 | task 2211 | n_decoded =    173, tg =  24.18 t/s, tg_3s =  24.05 t/s
22.24.454.159 I slot print_timing: id  3 | task 2211 | n_decoded =    246, tg =  24.15 t/s, tg_3s =  24.07 t/s
22.27.488.273 I slot print_timing: id  3 | task 2211 | n_decoded =    319, tg =  24.13 t/s, tg_3s =  24.06 t/s
22.30.527.095 I slot print_timing: id  3 | task 2211 | n_decoded =    392, tg =  24.11 t/s, tg_3s =  24.02 t/s
22.33.566.007 I slot print_timing: id  3 | task 2211 | n_decoded =    465, tg =  24.09 t/s, tg_3s =  24.02 t/s
22.36.063.651 I slot print_timing: id  3 | task 2211 | prompt eval time =    1000.48 ms /   458 tokens (    2.18 ms per token,   457.78 tokens per second)
22.36.063.665 I slot print_timing: id  3 | task 2211 |        eval time =   21796.63 ms /   525 tokens (   41.52 ms per token,    24.09 tokens per second)
22.36.063.666 I slot print_timing: id  3 | task 2211 |       total time =   22797.11 ms /   983 tokens
22.36.063.667 I slot print_timing: id  3 | task 2211 |    graphs reused =       2676
22.36.064.037 I slot      release: id  3 | task 2211 | stop processing: n_tokens = 982, truncated = 0
22.36.127.234 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 1287261094
22.36.127.677 I slot launch_slot_: id  2 | task 2738 | processing task, is_child = 0
22.42.070.133 I slot print_timing: id  2 | task 2738 | prompt processing, n_tokens =   3448, progress = 0.87, t =   5.90 s / 584.53 tokens per second
22.42.868.279 I slot print_timing: id  2 | task 2738 | prompt processing, n_tokens =   3960, progress = 1.00, t =   6.70 s / 591.32 tokens per second
22.48.135.643 I slot print_timing: id  2 | task 2738 | n_decoded =    100, tg =  23.52 t/s, tg_3s =  23.52 t/s
22.51.173.308 I slot print_timing: id  2 | task 2738 | n_decoded =    171, tg =  23.46 t/s, tg_3s =  23.37 t/s
22.54.208.023 I slot print_timing: id  2 | task 2738 | n_decoded =    242, tg =  23.44 t/s, tg_3s =  23.40 t/s
22.57.243.740 I slot print_timing: id  2 | task 2738 | n_decoded =    313, tg =  23.43 t/s, tg_3s =  23.39 t/s
22.59.251.729 I slot print_timing: id  2 | task 2738 | prompt eval time =    7712.84 ms /  3964 tokens (    1.95 ms per token,   513.95 tokens per second)
22.59.251.745 I slot print_timing: id  2 | task 2738 |        eval time =   15367.49 ms /   360 tokens (   42.69 ms per token,    23.43 tokens per second)
22.59.251.747 I slot print_timing: id  2 | task 2738 |       total time =   23080.33 ms /  4324 tokens
22.59.251.748 I slot print_timing: id  2 | task 2738 |    graphs reused =       3033
22.59.254.664 I slot      release: id  2 | task 2738 | stop processing: n_tokens = 4323, truncated = 0
22.59.296.450 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.504 (> 0.100 thold), f_keep = 0.066
22.59.372.643 I slot launch_slot_: id  2 | task 3102 | processing task, is_child = 0
23.04.666.184 I slot print_timing: id  2 | task 3102 | n_decoded =    100, tg =  24.19 t/s, tg_3s =  24.19 t/s
23.07.698.172 I slot print_timing: id  2 | task 3102 | n_decoded =    173, tg =  24.14 t/s, tg_3s =  24.08 t/s
23.10.736.554 I slot print_timing: id  2 | task 3102 | n_decoded =    246, tg =  24.11 t/s, tg_3s =  24.03 t/s
23.13.778.154 I slot print_timing: id  2 | task 3102 | n_decoded =    319, tg =  24.08 t/s, tg_3s =  24.00 t/s
23.14.318.665 I slot print_timing: id  2 | task 3102 | prompt eval time =    1159.22 ms /   563 tokens (    2.06 ms per token,   485.67 tokens per second)
23.14.318.687 I slot print_timing: id  2 | task 3102 |        eval time =   13786.63 ms /   332 tokens (   41.53 ms per token,    24.08 tokens per second)
23.14.318.688 I slot print_timing: id  2 | task 3102 |       total time =   14945.85 ms /   895 tokens
23.14.318.689 I slot print_timing: id  2 | task 3102 |    graphs reused =       3362
23.14.318.926 I slot      release: id  2 | task 3102 | stop processing: n_tokens = 894, truncated = 0
23.14.380.095 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 1288350494
23.14.402.810 I slot launch_slot_: id  1 | task 3437 | processing task, is_child = 0
23.17.494.531 I slot print_timing: id  1 | task 3437 | prompt processing, n_tokens =   2048, progress = 0.57, t =   3.02 s / 677.99 tokens per second
23.20.336.462 I slot print_timing: id  1 | task 3437 | prompt processing, n_tokens =   3092, progress = 0.86, t =   5.86 s / 527.41 tokens per second
23.20.495.879 I slot print_timing: id  1 | task 3437 | prompt processing, n_tokens =   3604, progress = 1.00, t =   6.02 s / 598.47 tokens per second
23.25.078.937 I slot print_timing: id  1 | task 3437 | n_decoded =    100, tg =  27.39 t/s, tg_3s =  27.39 t/s
23.28.112.321 I slot print_timing: id  1 | task 3437 | n_decoded =    183, tg =  27.38 t/s, tg_3s =  27.36 t/s
23.31.139.957 I slot print_timing: id  1 | task 3437 | n_decoded =    266, tg =  27.39 t/s, tg_3s =  27.41 t/s
23.34.164.349 I slot print_timing: id  1 | task 3437 | n_decoded =    349, tg =  27.40 t/s, tg_3s =  27.44 t/s
23.37.164.623 I slot print_timing: id  1 | task 3437 | n_decoded =    431, tg =  27.39 t/s, tg_3s =  27.33 t/s
23.40.165.667 I slot print_timing: id  1 | task 3437 | n_decoded =    513, tg =  27.38 t/s, tg_3s =  27.32 t/s
23.43.196.058 I slot print_timing: id  1 | task 3437 | n_decoded =    595, tg =  27.33 t/s, tg_3s =  27.06 t/s
23.46.204.016 I slot print_timing: id  1 | task 3437 | n_decoded =    677, tg =  27.32 t/s, tg_3s =  27.26 t/s
23.49.205.912 I slot print_timing: id  1 | task 3437 | n_decoded =    758, tg =  27.29 t/s, tg_3s =  26.98 t/s
23.52.228.801 I slot print_timing: id  1 | task 3437 | n_decoded =    840, tg =  27.27 t/s, tg_3s =  27.13 t/s
23.53.408.257 I slot print_timing: id  1 | task 3437 | prompt eval time =    6953.96 ms /  3608 tokens (    1.93 ms per token,   518.84 tokens per second)
23.53.408.266 I slot print_timing: id  1 | task 3437 |        eval time =   31980.46 ms /   872 tokens (   36.67 ms per token,    27.27 tokens per second)
23.53.408.267 I slot print_timing: id  1 | task 3437 |       total time =   38934.42 ms /  4480 tokens
23.53.408.268 I slot print_timing: id  1 | task 3437 |    graphs reused =       4229
23.53.410.052 I slot      release: id  1 | task 3437 | stop processing: n_tokens = 4479, truncated = 0
23.53.456.446 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1300381983
23.53.472.822 I slot launch_slot_: id  0 | task 4313 | processing task, is_child = 0
23.56.858.943 I slot print_timing: id  0 | task 4313 | prompt processing, n_tokens =   2048, progress = 0.54, t =   3.34 s / 613.57 tokens per second
24.00.320.574 I slot print_timing: id  0 | task 4313 | prompt processing, n_tokens =   3322, progress = 0.87, t =   6.80 s / 488.57 tokens per second
24.00.984.178 I slot print_timing: id  0 | task 4313 | prompt processing, n_tokens =   3834, progress = 1.00, t =   7.46 s / 513.73 tokens per second
24.06.407.219 I slot print_timing: id  0 | task 4313 | n_decoded =    100, tg =  23.38 t/s, tg_3s =  23.38 t/s
24.09.420.790 I slot print_timing: id  0 | task 4313 | n_decoded =    170, tg =  23.32 t/s, tg_3s =  23.23 t/s
24.12.434.224 I slot print_timing: id  0 | task 4313 | n_decoded =    240, tg =  23.29 t/s, tg_3s =  23.23 t/s
24.15.444.561 I slot print_timing: id  0 | task 4313 | n_decoded =    310, tg =  23.28 t/s, tg_3s =  23.25 t/s
24.18.480.728 I slot print_timing: id  0 | task 4313 | n_decoded =    381, tg =  23.30 t/s, tg_3s =  23.38 t/s
24.21.494.590 I slot print_timing: id  0 | task 4313 | n_decoded =    450, tg =  23.24 t/s, tg_3s =  22.89 t/s
24.24.516.654 I slot print_timing: id  0 | task 4313 | n_decoded =    520, tg =  23.23 t/s, tg_3s =  23.16 t/s
24.27.517.135 I slot print_timing: id  0 | task 4313 | n_decoded =    589, tg =  23.20 t/s, tg_3s =  23.00 t/s
24.30.543.624 I slot print_timing: id  0 | task 4313 | n_decoded =    659, tg =  23.19 t/s, tg_3s =  23.13 t/s
24.33.566.467 I slot print_timing: id  0 | task 4313 | n_decoded =    729, tg =  23.19 t/s, tg_3s =  23.16 t/s
24.36.590.899 I slot print_timing: id  0 | task 4313 | n_decoded =    799, tg =  23.19 t/s, tg_3s =  23.14 t/s
24.39.620.591 I slot print_timing: id  0 | task 4313 | n_decoded =    869, tg =  23.18 t/s, tg_3s =  23.11 t/s
24.42.649.008 I slot print_timing: id  0 | task 4313 | n_decoded =    939, tg =  23.17 t/s, tg_3s =  23.11 t/s
24.45.690.983 I slot print_timing: id  0 | task 4313 | n_decoded =   1009, tg =  23.16 t/s, tg_3s =  23.01 t/s
24.48.730.343 I slot print_timing: id  0 | task 4313 | n_decoded =   1079, tg =  23.15 t/s, tg_3s =  23.03 t/s
24.51.762.597 I slot print_timing: id  0 | task 4313 | n_decoded =   1149, tg =  23.15 t/s, tg_3s =  23.09 t/s
24.54.769.170 I slot print_timing: id  0 | task 4313 | n_decoded =   1218, tg =  23.14 t/s, tg_3s =  22.95 t/s
24.55.084.338 I slot print_timing: id  0 | task 4313 | prompt eval time =    8609.78 ms /  3838 tokens (    2.24 ms per token,   445.77 tokens per second)
24.55.084.378 I slot print_timing: id  0 | task 4313 |        eval time =   52953.45 ms /  1225 tokens (   43.23 ms per token,    23.13 tokens per second)
24.55.084.379 I slot print_timing: id  0 | task 4313 |       total time =   61563.23 ms /  5063 tokens
24.55.084.380 I slot print_timing: id  0 | task 4313 |    graphs reused =       5455
24.55.085.799 I slot      release: id  0 | task 4313 | stop processing: n_tokens = 5109, truncated = 0
24.55.124.842 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.502 (> 0.100 thold), f_keep = 0.056
24.55.199.213 I slot launch_slot_: id  0 | task 5542 | processing task, is_child = 0
25.00.912.851 I slot print_timing: id  0 | task 5542 | n_decoded =    100, tg =  23.14 t/s, tg_3s =  23.14 t/s
25.03.932.712 I slot print_timing: id  0 | task 5542 | n_decoded =    169, tg =  23.02 t/s, tg_3s =  22.85 t/s
25.06.936.554 I slot print_timing: id  0 | task 5542 | n_decoded =    238, tg =  23.01 t/s, tg_3s =  22.97 t/s
25.09.966.901 I slot print_timing: id  0 | task 5542 | n_decoded =    307, tg =  22.95 t/s, tg_3s =  22.77 t/s
25.12.977.340 I slot print_timing: id  0 | task 5542 | n_decoded =    376, tg =  22.95 t/s, tg_3s =  22.92 t/s
25.15.998.715 I slot print_timing: id  0 | task 5542 | n_decoded =    445, tg =  22.93 t/s, tg_3s =  22.84 t/s
25.19.037.926 I slot print_timing: id  0 | task 5542 | n_decoded =    515, tg =  22.94 t/s, tg_3s =  23.03 t/s
25.19.728.096 I slot print_timing: id  0 | task 5542 | prompt eval time =    1391.82 ms /   519 tokens (    2.68 ms per token,   372.89 tokens per second)
25.19.728.110 I slot print_timing: id  0 | task 5542 |        eval time =   23136.89 ms /   531 tokens (   43.57 ms per token,    22.95 tokens per second)
25.19.728.111 I slot print_timing: id  0 | task 5542 |       total time =   24528.70 ms /  1050 tokens
25.19.728.112 I slot print_timing: id  0 | task 5542 |    graphs reused =       5984
25.19.729.226 I slot      release: id  0 | task 5542 | stop processing: n_tokens = 1096, truncated = 0
25.19.770.343 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 1355938784
25.19.770.928 I slot launch_slot_: id  3 | task 6076 | processing task, is_child = 0
25.26.010.578 I slot print_timing: id  3 | task 6076 | n_decoded =    100, tg =  23.79 t/s, tg_3s =  23.79 t/s
25.29.025.005 I slot print_timing: id  3 | task 6076 | n_decoded =    170, tg =  23.55 t/s, tg_3s =  23.22 t/s
25.32.037.028 I slot print_timing: id  3 | task 6076 | n_decoded =    240, tg =  23.46 t/s, tg_3s =  23.24 t/s
25.35.044.110 I slot print_timing: id  3 | task 6076 | n_decoded =    310, tg =  23.42 t/s, tg_3s =  23.28 t/s
25.38.047.209 I slot print_timing: id  3 | task 6076 | n_decoded =    380, tg =  23.40 t/s, tg_3s =  23.31 t/s
25.41.076.211 I slot print_timing: id  3 | task 6076 | n_decoded =    451, tg =  23.41 t/s, tg_3s =  23.44 t/s
25.44.090.683 I slot print_timing: id  3 | task 6076 | n_decoded =    529, tg =  23.74 t/s, tg_3s =  25.88 t/s
25.47.115.778 I slot print_timing: id  3 | task 6076 | n_decoded =    599, tg =  23.67 t/s, tg_3s =  23.14 t/s
25.50.123.767 I slot print_timing: id  3 | task 6076 | n_decoded =    669, tg =  23.63 t/s, tg_3s =  23.27 t/s
25.53.036.057 I slot print_timing: id  3 | task 6076 | prompt eval time =    1959.76 ms /   874 tokens (    2.24 ms per token,   445.97 tokens per second)
25.53.036.071 I slot print_timing: id  3 | task 6076 |        eval time =   31228.92 ms /   737 tokens (   42.37 ms per token,    23.60 tokens per second)
25.53.036.072 I slot print_timing: id  3 | task 6076 |       total time =   33188.68 ms /  1611 tokens
25.53.036.074 I slot print_timing: id  3 | task 6076 |    graphs reused =       6716
25.53.036.311 I slot      release: id  3 | task 6076 | stop processing: n_tokens = 1610, truncated = 0
25.53.077.736 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 1394193674
25.53.099.840 I slot launch_slot_: id  2 | task 6816 | processing task, is_child = 0
25.59.412.678 I slot print_timing: id  2 | task 6816 | n_decoded =    100, tg =  23.69 t/s, tg_3s =  23.69 t/s
26.02.419.102 I slot print_timing: id  2 | task 6816 | n_decoded =    171, tg =  23.66 t/s, tg_3s =  23.62 t/s
26.05.452.500 I slot print_timing: id  2 | task 6816 | n_decoded =    242, tg =  23.58 t/s, tg_3s =  23.41 t/s
26.08.474.139 I slot print_timing: id  2 | task 6816 | n_decoded =    313, tg =  23.56 t/s, tg_3s =  23.50 t/s
26.11.476.354 I slot print_timing: id  2 | task 6816 | n_decoded =    383, tg =  23.52 t/s, tg_3s =  23.32 t/s
26.14.509.289 I slot print_timing: id  2 | task 6816 | n_decoded =    454, tg =  23.50 t/s, tg_3s =  23.41 t/s
26.17.542.260 I slot print_timing: id  2 | task 6816 | n_decoded =    525, tg =  23.49 t/s, tg_3s =  23.41 t/s
26.20.571.111 I slot print_timing: id  2 | task 6816 | n_decoded =    596, tg =  23.48 t/s, tg_3s =  23.44 t/s
26.23.608.545 I slot print_timing: id  2 | task 6816 | n_decoded =    666, tg =  23.44 t/s, tg_3s =  23.05 t/s
26.26.638.118 I slot print_timing: id  2 | task 6816 | n_decoded =    735, tg =  23.37 t/s, tg_3s =  22.78 t/s
26.29.662.719 I slot print_timing: id  2 | task 6816 | n_decoded =    804, tg =  23.32 t/s, tg_3s =  22.81 t/s
26.32.667.329 I slot print_timing: id  2 | task 6816 | n_decoded =    873, tg =  23.29 t/s, tg_3s =  22.96 t/s
26.35.700.465 I slot print_timing: id  2 | task 6816 | n_decoded =    943, tg =  23.28 t/s, tg_3s =  23.08 t/s
26.38.710.380 I slot print_timing: id  2 | task 6816 | n_decoded =   1012, tg =  23.25 t/s, tg_3s =  22.92 t/s
26.41.729.602 I slot print_timing: id  2 | task 6816 | n_decoded =   1081, tg =  23.23 t/s, tg_3s =  22.85 t/s
26.44.740.577 I slot print_timing: id  2 | task 6816 | n_decoded =   1150, tg =  23.21 t/s, tg_3s =  22.92 t/s
26.47.754.282 I slot print_timing: id  2 | task 6816 | n_decoded =   1219, tg =  23.19 t/s, tg_3s =  22.90 t/s
26.50.770.762 I slot print_timing: id  2 | task 6816 | n_decoded =   1288, tg =  23.17 t/s, tg_3s =  22.87 t/s
